Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
24/08/2022,Andaman and Nicobar Islands,346429,350644,913730,216657
24/08/2022,Andhra Pradesh,44677379,47540683,104677826,12459764
24/08/2022,Arunachal Pradesh,954257,805936,1845458,85265
24/08/2022,Assam,24716891,21934166,49573374,2922317
24/08/2022,Bihar,72817416,65691124,149281766,10773226
24/08/2022,Chandigarh,1183621,981018,2258491,93852
24/08/2022,Chhattisgarh,21154542,19916811,46328612,5257259
24/08/2022,Delhi,18226708,15520785,36342501,2595008
24/08/2022,Goa,1438297,1291241,2853013,123475
24/08/2022,Gujarat,54328184,53786091,122008188,13893913
24/08/2022,Haryana,23640391,19738318,45079413,1700704
24/08/2022,Himachal Pradesh,6621342,6274674,14566657,1670641
24/08/2022,Jammu and Kashmir,11360167,11709816,24175439,1105456
24/08/2022,Jharkhand,23761746,17215422,42118799,1141631
24/08/2022,Karnataka,55098018,54989746,118304567,8216803
24/08/2022,Kerala,29116419,25160906,57163098,2885773
24/08/2022,Ladakh,237873,202286,544424,104265
24/08/2022,Lakshadweep,61661,59925,133409,11823
24/08/2022,Madhya Pradesh,60604754,58837236,128292396,8850406
24/08/2022,Maharashtra,91450062,76052519,175492077,7989496
24/08/2022,Manipur,1626786,1300204,3164577,237587
24/08/2022,Meghalaya,1438860,1076584,2587423,71979
24/08/2022,Mizoram,890309,735884,1727250,101057
24/08/2022,Nagaland,919740,737039,1710866,54087
24/08/2022,Odisha,35112076,32558583,74667759,6997100
24/08/2022,Puducherry,987096,802824,2021337,231417
24/08/2022,Punjab,24093691,20791467,46364393,1479235
24/08/2022,Rajasthan,56802571,50307041,112513160,5403548
24/08/2022,Sikkim,590688,551528,1301005,158789
24/08/2022,Tamil Nadu,60751530,55779266,122157748,5626952
24/08/2022,Telangana,32355354,31227533,68020344,4437457
24/08/2022,Tripura,2909578,2499074,5698276,289624
24/08/2022,Uttar Pradesh,176556256,167198821,365131610,21376533
24/08/2022,Uttarakhand,9094174,8654191,19401958,1653593
24/08/2022,West Bengal,73418643,66330762,152977621,13228216
24/08/2022,Miscellaneous,2242990,1578968,5290112,1468154
24/08/2022,Dadra and Nagar Haveli and Daman and Diu,780523,630449,1545670,134698
24/08/2022,Total,1022367022,940819565,2108234347,145047760
25/08/2022,Andaman and Nicobar Islands,346529,350834,919851,222488
25/08/2022,Andhra Pradesh,44677769,47540994,104773213,12554450
25/08/2022,Arunachal Pradesh,954700,806609,1848190,86881
25/08/2022,Assam,24721713,21940877,49605532,2942942
25/08/2022,Bihar,72871958,65893759,150012568,11246851
25/08/2022,Chandigarh,1183674,981163,2259587,94750
25/08/2022,Chhattisgarh,21159047,19933511,46431199,5338641
25/08/2022,Delhi,18229059,15526443,36377702,2622200
25/08/2022,Goa,1438361,1291398,2853970,124211
25/08/2022,Gujarat,54330727,53795438,122391778,14265613
25/08/2022,Haryana,23641672,19742572,45098971,1714727
25/08/2022,Himachal Pradesh,6621983,6276030,14603083,1705070
25/08/2022,Jammu and Kashmir,11360320,11712424,24201623,1128879
25/08/2022,Jharkhand,23764945,17224241,42146821,1157635
25/08/2022,Karnataka,55099684,54997680,118354017,8256653
25/08/2022,Kerala,29116766,25162404,57175294,2896124
25/08/2022,Ladakh,237890,202308,544991,104793
25/08/2022,Lakshadweep,61666,59937,133901,12298
25/08/2022,Madhya Pradesh,60605476,58840851,128326859,8880532
25/08/2022,Maharashtra,91461058,76078565,175598339,8058716
25/08/2022,Manipur,1627260,1301028,3166930,238642
25/08/2022,Meghalaya,1439044,1076929,2588397,72424
